,distance,measure_1,measure_2,measure_3,measure_4,measure_5,measure_6,measure_7,measure_8
0,50,49.93,49.82,50.04,49.19,49.09,49.3,49.4,49.93
1,60,60.85,61.01,61.33,61.17,61.49,61.17,61.33,60.85
2,70,71.24,71.46,71.68,71.46,71.24,71.03,71.46,71.38
3,80,80.03,81.42,80.86,80.3,81.42,79.95,81.14,80.58
4,90,94.22,92.73,93.1,93.47,92.73,93.1,92.36,93.47
5,100,98.18,97.77,98.18,98.18,98.18,97.36,97.77,97.77
6,110,105.26,104.79,104.32,103.85,104.79,104.32,104.32,103.85
7,120,111.27,110.75,111.81,110.75,111.27,111.27,110.22,111.27
8,130,124.96,121.07,121.7,121.07,120.45,121.07,119.83,121.07
9,140,126.31,127.0,125.63,124.96,125.63,124.96,126.31,127.0
10,150,139.92,141.62,139.09,135.07,135.86,137.45,135.86,137.45
11,160,150.76,150.76,148.84,150.76,149.79,150.76,149.79,148.84
12,170,160.56,171.82,170.56,171.82,171.82,173.09,170.56,171.82
13,180,174.38,173.09,174.38,171.82,168.11,169.33,170.56,173.09
14,190,185.45,182.56,183.99,182.56,185.45,182.56,181.14,183.99
15,200,186.94,186.94,188.45,188.45,185.45,186.94,186.94,188.45
16,210,189.98,191.54,188.45,193.12,173.09,160.05,175.69,189.98
17,220,189.98,188.45,177.02,179.75,191.54,186.94,188.45,191.54
18,230,208.64,201.44,203.19,204.98,203.19,214.38,206.79,203.19
19,240,224.69,216.36,212.43,218.39,216.36,214.38,212.43,216.36
20,250,208.64,204.98,203.19,204.98,208.64,199.72,203.19,201.44
